player_id,name,role,acted_as_sweeper,diving_save,goals_conceded,minutes_played,punches,saves,saves_inside_box,throws,accurate_passes,assists,chances_created,goals,pass_success,total_shots,blocked_shots,shot_accuracy,shot_off_target,shot_on_target,shots_woodwork,accurate_long_balls,crosses,key_passes,long_balls,passes,touches,aerials_lost,aerials_won,clearances,dispossessed,dribbles_attempted,dribbles_succeeded,duels_lost,duels_won,fouls,interceptions,recoveries,tackles_attempted,tackles_succeeded,was_fouled,is_a_sub,was_subbed,yellow_card,red_card,rating
169756,Adrian,Keeper,0,1,0,51,0,2,0,0,14,,,,,0,0,0%,0,0,0,4,0,0,8,18,20,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,,,6.2
38807,James Milner,Midfielder,,,,4,,,,,2,0,0,0,67%,0,0,0%,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,,,
303339,Sadio Mané,Attacker,,,,16,,,,,9,0,0,0,82%,0,0,0%,0,0,0,0,0,0,0,11,13,0,0,0,1,1,1,2,1,0,0,1,0,0,0,1,0,,,6.1
319784,Alisson Becker,Keeper,0,1,0,39,0,2,0,1,9,,,,,0,0,0%,0,0,0,1,0,0,2,11,14,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,,,6.2
760712,Trent Alexander-Arnold,Defender,,,,90,,,,,24,1,2,0,60%,2,0,50%,1,1,0,4,8,3,10,40,73,0,1,1,1,1,0,4,2,1,2,7,1,1,0,0,,,,7.7
568571,Joseph Gomez,Defender,,,,90,,,,,45,0,0,0,83%,0,0,0%,0,0,0,2,0,1,6,54,60,0,4,0,0,0,0,2,6,2,0,4,2,1,0,0,,,,7
209405,Virgil van Dijk,Defender,,,,90,,,,,50,0,0,1,88%,1,0,100%,0,1,0,3,0,0,5,57,71,1,5,3,0,0,0,1,8,0,5,3,3,1,0,0,,,,8.4
357880,Andrew Robertson,Defender,,,,90,,,,,64,0,0,0,91%,2,0,0%,2,0,0,3,9,1,6,70,96,1,1,1,1,0,0,2,2,0,1,6,1,0,0,0,,,,7
156008,Jordan Henderson,Midfielder,,,,90,,,,,45,0,0,0,83%,2,1,50%,0,1,0,6,4,0,11,54,73,0,0,0,0,3,2,5,6,2,2,6,2,1,2,0,,,,7.4
359188,Fabinho,Midfielder,,,,90,,,,,33,0,0,0,79%,1,0,100%,0,1,0,1,0,1,3,42,61,0,1,0,1,1,1,3,11,1,2,10,8,5,1,0,,,,7.9
108038,Georginio Wijnaldum,Midfielder,,,,90,,,,,36,0,0,0,92%,0,0,0%,0,0,0,2,0,0,3,39,49,0,1,0,2,1,1,5,4,2,1,6,0,0,2,0,,,,6.6
292462,Mohamed Salah,Attacker,,,,90,,,,,22,1,1,1,73%,2,0,50%,1,1,0,0,7,3,0,30,48,1,0,0,1,2,2,5,3,1,0,2,0,0,1,0,,,,8.6
242709,Roberto Firmino,Attacker,,,,86,,,,,23,1,1,0,77%,4,2,25%,1,1,0,1,0,1,1,30,47,4,1,0,0,5,4,7,7,0,0,5,1,1,1,0,1,,,8.2
426202,Divock Origi,Attacker,,,,74,,,,,11,0,1,1,61%,1,0,100%,0,1,0,0,4,2,2,18,34,0,1,0,1,1,0,2,6,0,1,2,3,3,2,0,1,,,8.2
683450,Pablo Fornals,Midfielder,,,,45,,,,,11,0,0,0,85%,0,0,0%,0,0,0,0,1,0,0,13,23,1,0,0,3,0,0,4,5,0,0,4,3,2,2,1,0,,,5.7
32728,Robert Snodgrass,Midfielder,,,,34,,,,,13,0,1,0,87%,0,0,0%,0,0,0,0,3,1,1,15,22,1,1,0,1,0,0,4,2,1,0,3,0,0,1,1,0,,,5.6
70409,Javier Hernández,Attacker,,,,24,,,,,7,0,0,0,100%,2,0,50%,1,1,0,0,0,0,0,7,10,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,,,5.6
30973,Lukasz Fabianski,Keeper,0,3,0,90,0,4,2,6,17,,,,,0,0,0%,0,0,0,10,0,0,21,29,42,0,0,0,0,1,1,0,1,0,0,10,0,0,0,0,,,,4.5
194323,Ryan Fredericks,Defender,,,,90,,,,,29,0,0,0,85%,0,0,0%,0,0,0,1,3,0,1,34,61,0,3,2,0,0,0,2,8,1,1,4,3,1,2,0,,,,4.8
307438,Fabian Balbuena,Defender,,,,90,,,,,30,0,0,0,75%,0,0,0%,0,0,0,4,0,0,9,40,46,1,2,4,0,0,0,4,2,2,0,5,0,0,0,0,,1,,4.1
696443,Issa Diop,Defender,,,,90,,,,,34,0,0,0,87%,1,0,0%,1,0,0,2,0,0,3,39,51,1,1,2,1,0,0,3,3,1,2,5,1,0,1,0,,,,4.2
