,diving_save,goals_conceded,minutes_played,punches,saves,saves_inside_box,throws,accurate_passes,pass_success,total_shots,shot_accuracy,shot_off_target,shot_on_target,accurate_long_balls,key_passes,long_balls,passes,touches,aerials_lost,aerials_won,clearances,dispossessed,dribbles_attempted,dribbles_succeeded,duels_lost,duels_won,fouls,interceptions,recoveries,tackles_attempted,tackles_succeeded,was_fouled,is_a_sub,was_subbed,yellow_card,red_card,rating
0,1,0,0.4201680672268907,0,2,0,0,14,0.7777777777777778,0,0.0,0,0,4,0,8,18,20,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,6.2
1,1,0,0.3193277310924369,0,2,0,1,9,0.8181818181818182,0,0.0,0,0,1,0,2,11,14,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,6.2
2,3,0,0.7478991596638656,0,4,2,6,17,0.5862068965517241,0,0.0,0,0,10,0,21,29,42,0,0,0,0,1,1,0,1,0,0,10,0,0,0,0,0,0,0,4.5
3,2,0,0.7478991596638656,0,2,0,5,11,0.5238095238095238,0,0.0,0,0,1,0,11,21,29,0,0,0,0,0,0,0,1,0,0,5,0,0,1,0,0,0,0,6.1
4,1,0,0.7478991596638656,0,3,2,5,13,0.41935483870967744,0,0.0,0,0,8,1,26,31,42,0,0,1,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,7.7
5,1,0,0.7478991596638656,1,2,1,2,11,0.4583333333333333,0,0.0,0,0,5,0,18,24,29,0,1,1,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,7.1
6,2,0,0.7478991596638656,0,2,1,2,19,0.8636363636363636,0,0.0,0,0,3,0,6,22,26,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,7.0
7,0,0,0.7478991596638656,0,1,1,2,12,0.5217391304347826,0,0.0,0,0,7,0,18,23,27,0,1,0,0,0,0,1,1,0,0,4,0,0,0,0,0,0,0,4.4
8,1,0,0.7478991596638656,0,3,2,3,7,1.0,0,0.0,0,0,2,0,2,7,13,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6.2
9,0,0,0.7478991596638656,0,1,1,1,15,0.625,0,0.0,0,0,12,0,20,24,27,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,6.2
10,3,0,0.7478991596638656,0,7,3,5,17,0.7727272727272727,0,0.0,0,0,3,0,8,22,35,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,8.4
11,0,0,0.7478991596638656,1,3,3,9,22,0.8461538461538461,0,0.0,0,0,2,0,6,26,39,1,0,1,0,0,0,1,0,0,0,11,0,0,0,0,0,0,0,6.0
12,1,2,0.7478991596638656,0,2,2,2,12,0.631578947368421,0,0.0,0,0,4,0,10,19,25,0,1,0,0,0,0,1,1,1,0,3,0,0,0,0,0,0,0,5.2
13,1,0,0.7478991596638656,0,2,2,6,22,0.8461538461538461,0,0.0,0,0,7,0,11,26,35,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,5.9
14,1,0,0.7478991596638656,0,2,2,5,24,0.8,0,0.0,0,0,7,0,13,30,43,0,0,1,0,0,0,1,1,0,0,7,1,1,0,0,0,0,0,7.5
15,2,0,0.7478991596638656,0,2,1,9,19,0.59375,0,0.0,0,0,7,0,20,32,43,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,7.2
16,0,2,0.7478991596638656,0,0,0,5,30,0.9090909090909092,0,0.0,0,0,5,0,8,33,39,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,5.2
17,2,0,0.7478991596638656,0,3,2,5,27,0.75,0,0.0,0,0,7,0,15,36,46,0,0,1,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,6.6
18,1,0,0.7478991596638656,1,4,1,5,11,0.5789473684210527,0,0.0,0,0,7,0,15,19,31,0,1,1,0,0,0,0,1,0,0,10,0,0,0,0,0,0,0,7.6
19,3,0,0.7478991596638656,0,4,3,3,6,0.3157894736842105,0,0.0,0,0,6,0,19,19,29,0,1,1,0,0,0,0,1,0,0,8,0,0,0,0,0,0,0,6.3
20,1,0,0.7478991596638656,0,1,1,1,8,0.3636363636363637,0,0.0,0,0,4,0,18,22,24,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,7.2
21,0,0,0.7478991596638656,1,1,1,2,18,0.5454545454545454,0,0.0,0,0,9,0,24,33,40,0,0,1,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,7.1
